Pull_Ke,Cumulative_Probability_Fixed,Cumulative_Probability_Weighted
1,0.567,0.577
2,1.138,1.196
3,1.704,1.813
4,2.316,2.383
5,2.91,2.993
6,3.508,3.569
7,4.085,4.133
8,4.674,4.717
9,5.225,5.261
10,5.76,5.832
11,6.342,6.406
12,6.928,6.962
13,7.501,7.511
14,8.069,8.071
15,8.607,8.659
16,9.128,9.213
17,9.636,9.745
18,10.152,10.299
19,10.709,10.832
20,11.249,11.414
21,11.777,11.928
22,12.336,12.451
23,12.863,12.966
24,13.387,13.515
25,13.916,14.025
26,14.421,14.499
27,14.964,14.984
28,15.488,15.478
29,16.04,15.986
30,16.582,16.519
31,17.112,17.033
32,17.619,17.515
33,18.097,17.974
34,18.618,18.466
35,19.127,18.906
36,19.648,19.433
37,20.153,19.893
38,20.608,20.373
39,21.039,20.812
40,21.53,21.315
41,21.993,21.79
42,22.465,22.238
43,22.951,22.696
44,23.412,23.214
45,23.896,23.677
46,24.354,24.099
47,24.795,24.538
48,25.263,24.97
49,25.721,25.417
50,26.149,29.687
51,26.573,37.351
52,27.029,47.147
53,27.475,58.18
54,27.89,68.813
55,28.358,78.448
56,28.793,86.127
57,29.203,91.758
58,29.594,95.584
59,30.032,97.816
60,30.489,99.048
61,30.906,99.634
62,31.316,99.874
63,31.74,99.967
64,32.142,99.987
65,32.561,99.998
66,32.985,100.0
67,33.367,100.0
68,33.75,100.0
69,34.106,100.0
70,34.49,100.0
