Pull_Ke,Cumulative_Probability_Fixed,Cumulative_Probability_Weighted
1,0.6033999999999999,0.5888
2,1.1850999999999998,1.1799
3,1.7780999999999998,1.7825
4,2.372,2.3767
5,2.9613,2.9689
6,3.5386,3.5597000000000003
7,4.1223,4.1353
8,4.7014000000000005,4.7059
9,5.2643,5.2721
10,5.8185,5.8395
11,6.3850999999999996,6.4078
12,6.952299999999999,6.9721
13,7.5048,7.535500000000001
14,8.0531,8.0764
15,8.6049,8.6451
16,9.1623,9.2089
17,9.712299999999999,9.7591
18,10.2654,10.311499999999999
19,10.8036,10.8508
20,11.3269,11.4009
21,11.8521,11.9322
22,12.378499999999999,12.456100000000001
23,12.908600000000002,12.9653
24,13.4355,13.493200000000002
25,13.960399999999998,14.0196
26,14.467400000000001,14.5485
27,14.9917,15.0635
28,15.5013,15.5648
29,16.0022,16.0746
30,16.5054,16.579
31,17.0028,17.0835
32,17.4982,17.5893
33,17.9991,18.0773
34,18.5011,18.575400000000002
35,18.9917,19.0568
36,19.469900000000003,19.5415
37,19.944399999999998,20.0231
38,20.427799999999998,20.499000000000002
39,20.9027,20.9831
40,21.3785,21.4603
41,21.8403,21.9314
42,22.3121,22.3949
43,22.7779,22.8587
44,23.2436,23.3294
45,23.702199999999998,23.7969
46,24.16,24.2446
47,24.6102,24.6948
48,25.0671,25.1345
49,25.512700000000002,25.579
50,25.9626,29.7806
51,26.4055,37.2406
52,26.850299999999997,47.0608
53,27.293200000000002,57.976
54,27.731299999999997,68.72319999999999
55,28.1659,78.3211
56,28.5978,86.0025
57,29.029000000000003,91.7096
58,29.456400000000002,95.4948
59,29.880900000000004,97.7668
60,30.3148,99.0087
61,30.736200000000004,99.6092
62,31.145699999999998,99.86179999999999
63,31.562399999999997,99.95689999999999
64,31.977300000000003,99.9878
65,32.3929,99.9981
66,32.7939,99.9996
67,33.183800000000005,100.0
68,33.5832,100.0
69,33.9759,100.0
70,34.3601,100.0
